rainfall_mm,temperature_c,relative_humidity_pct,avg_cpr,avg_ie,avg_lsprate,avg_rorwe,avg_tprate
1.8757428758724406,30.55286623221378,20.530110669802955,1.2444231e-05,-2.1469285e-05,1.1160859e-05,7.3487004e-06,2.3601915e-05
2.0572567770793966,31.73845794933097,21.793510970578026,7.860196e-06,-1.8797062e-05,3.0760186e-06,4.0475933e-07,1.0937802e-05
2.286564608799599,33.51190799367601,23.72485867427602,7.860196e-06,-1.8797062e-05,3.0760186e-06,4.0475933e-07,1.0937802e-05
2.353611614545174,34.11007827864111,24.361402074576795,7.860196e-06,-1.8797062e-05,3.0760186e-06,4.0475933e-07,1.0937802e-05
2.5411703235260092,33.76490803223692,24.243816372961092,7.860196e-06,-1.8797062e-05,3.0760186e-06,4.0475933e-07,1.0937802e-05
2.8595241584082056,33.56008946130413,24.398995873982958,1.1168857e-05,-3.5038112e-05,3.51788e-06,5.28539e-07,1.4687498e-05
3.2620398719777888,33.26454016118459,24.44297343153511,1.1168857e-05,-3.5038112e-05,3.51788e-06,5.28539e-07,1.4687498e-05
3.672385377704084,33.29171518914125,24.518708595226162,1.1168857e-05,-3.5038112e-05,3.51788e-06,5.28539e-07,1.4687498e-05
6.9816685304438355,32.046479774804304,22.635006362549646,5.951965e-05,-3.5989106e-05,2.3574685e-05,3.9663082e-05,8.309192e-05
5.815524235530019,31.257936991478037,21.774640033933597,5.951965e-05,-3.5989106e-05,2.3574685e-05,3.9663082e-05,8.309192e-05
3.9886923996452395,29.432407357421045,19.90694597616936,5.951965e-05,-3.5989106e-05,2.3574685e-05,3.9663082e-05,8.309192e-05
2.420736127713724,30.555804958932633,20.86942312883199,5.951965e-05,-3.5989106e-05,2.3574685e-05,3.9663082e-05,8.309192e-05
2.003140400262214,29.748619133922027,19.872928315273978,9.105483e-06,-1.5268475e-05,5.8992096e-06,2.0542655e-06,1.5003613e-05
1.9804889523001579,30.04258088150233,20.03456484016504,9.105483e-06,-1.5268475e-05,5.8992096e-06,2.0542655e-06,1.5003613e-05
1.7312100412601705,31.313256082983074,21.19252612501446,9.105483e-06,-1.5268475e-05,5.8992096e-06,2.0542655e-06,1.5003613e-05
1.7899444722939883,32.116179770948214,21.990343577680946,9.105483e-06,-1.5268475e-05,5.8992096e-06,2.0542655e-06,1.5003613e-05
1.9601634982454788,33.18504299541125,23.09932711217368,5.511938e-06,-1.419503e-05,2.8986012e-06,3.605478e-08,8.410285e-06
2.172988855897891,33.81637141865576,23.795051093201714,5.511938e-06,-1.419503e-05,2.8986012e-06,3.605478e-08,8.410285e-06
2.2798881733698377,34.406934407897275,24.641370454633094,5.511938e-06,-1.419503e-05,2.8986012e-06,3.605478e-08,8.410285e-06
2.4982042185632207,34.19015771410943,24.62516677592257,5.511938e-06,-1.419503e-05,2.8986012e-06,3.605478e-08,8.410285e-06
2.8417525932209924,33.75234681679713,24.50313345929896,1.0024435e-05,-3.3554654e-05,3.3267518e-06,2.105523e-07,1.3350298e-05
3.24523965603671,33.47959780974049,24.513072533065976,1.0024435e-05,-3.3554654e-05,3.3267518e-06,2.105523e-07,1.3350298e-05
3.566035167547141,33.418483013920486,24.546524505456368,1.0024435e-05,-3.3554654e-05,3.3267518e-06,2.105523e-07,1.3350298e-05
7.085902518027224,32.37183164308024,22.66703466625535,5.2164156e-05,-3.606188e-05,2.693876e-05,3.8336893e-05,7.910152e-05
5.366334400185092,31.70533760074037,21.969265800331623,5.2164156e-05,-3.606188e-05,2.693876e-05,3.8336893e-05,7.910152e-05
3.0547264103651717,29.794227432229203,20.007257933906605,5.2164156e-05,-3.606188e-05,2.693876e-05,3.8336893e-05,7.910152e-05
3.312156711525855,26.582493348243553,16.71135001735241,5.2164156e-05,-3.606188e-05,2.693876e-05,3.8336893e-05,7.910152e-05
3.097147264103652,29.913502872787568,19.894080129564646,8.2110955e-06,-2.0737505e-05,4.428898e-06,1.0330837e-06,1.2638597e-05
1.8538661165310608,30.090601164539393,19.923826784405968,8.2110955e-06,-2.0737505e-05,4.428898e-06,1.0330837e-06,1.2638597e-05
1.8034257509736629,31.036726564608802,20.757690201673544,8.2110955e-06,-2.0737505e-05,4.428898e-06,1.0330837e-06,1.2638597e-05
1.8924432190645126,32.316944048124014,22.0483133459299,8.2110955e-06,-2.0737505e-05,4.428898e-06,1.0330837e-06,1.2638597e-05
2.023544904176146,33.227304592604014,22.958093934369337,5.444843e-06,-1.6968355e-05,2.8846364e-06,3.1674887e-08,8.32675e-06
2.0552732040257586,33.88601395904832,23.603976786334016,5.444843e-06,-1.6968355e-05,2.8846364e-06,3.1674887e-08,8.32675e-06
2.2177657810511704,34.25970693710716,24.24799560405661,5.444843e-06,-1.6968355e-05,2.8846364e-06,3.1674887e-08,8.32675e-06
2.4710288049974936,33.91960590753094,24.213026645586705,5.444843e-06,-1.6968355e-05,2.8846364e-06,3.1674887e-08,8.32675e-06
2.860335094281418,33.63686037095592,24.33425481047314,9.5442965e-06,-3.253538e-05,2.4034828e-06,2.816145e-07,1.1947716e-05
3.3328245864342727,33.49724019588941,24.510199359888944,9.5442965e-06,-3.253538e-05,2.4034828e-06,2.816145e-07,1.1947716e-05
3.5465110091389347,33.47002467898045,24.584232059538042,9.5442965e-06,-3.253538e-05,2.4034828e-06,2.816145e-07,1.1947716e-05
8.198379670689855,32.02631511973162,22.29613195542359,4.0754596e-05,-4.134666e-05,2.7999457e-05,0.0,6.8751644e-05
7.634965487988278,24.838159873520226,15.049441252458257,5.421103e-05,-3.562193e-05,3.181117e-05,4.6508507e-05,8.6024294e-05
5.615102764817028,33.579265029113486,23.670633941310303,5.421103e-05,-3.562193e-05,3.181117e-05,4.6508507e-05,8.6024294e-05
3.517323873057494,19.393823699533414,9.457571819689198,5.421103e-05,-3.562193e-05,3.181117e-05,4.6508507e-05,8.6024294e-05
3.988584814714842,25.062484093625883,15.080661319554235,5.421103e-05,-3.562193e-05,3.181117e-05,4.6508507e-05,8.6024294e-05
3.379137392511472,30.083642077661665,19.933681409786757,2.3371178e-05,-3.6755704e-05,7.0191927e-06,7.4944114e-06,3.0392148e-05
1.9740492808390853,29.74099062969961,19.380143060964794,2.3371178e-05,-3.6755704e-05,7.0191927e-06,7.4944114e-06,3.0392148e-05
1.949649095746732,30.25865229630201,19.863324721397447,2.3371178e-05,-3.6755704e-05,7.0191927e-06,7.4944114e-06,3.0392148e-05
2.095075772182162,31.465850846411907,21.08072301700536,2.3371178e-05,-3.6755704e-05,7.0191927e-06,7.4944114e-06,3.0392148e-05
2.2040515944935026,33.29039370685999,22.87965680792812,1.0716585e-05,-2.4438126e-05,3.1590462e-06,1.9388966e-07,1.3872331e-05
2.1620703350942816,29.544466895461383,19.10395557783519,1.0716585e-05,-2.4438126e-05,3.1590462e-06,1.9388966e-07,1.3872331e-05
2.365143253769329,33.414324605714725,23.036177457293793,1.0716585e-05,-2.4438126e-05,3.1590462e-06,1.9388966e-07,1.3872331e-05
2.6012000154243626,34.3012412755948,24.438562449388808,1.0716585e-05,-2.4438126e-05,3.1590462e-06,1.9388966e-07,1.3872331e-05
